Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Totals to Date,,
,, M ,"1,129","1,076",993,"1,432","1,456","1,706","4,066","3,881","3,802","5,117","5,088","3,831","3,949","2,483","2,318","1,768","1,670","1,281","1,251","1,373","1,172","1,132","1,184",940,973,851,881,"25,403","24,899","6,501"
 BLUE ALBION , Dairy , F ,1,1,1,3,3,1,2,3,0,1,6,7,8,6,4,2,0,0,2,0,2,1,1,3,1,0,1,26,32,2
,, M ,2,0,1,1,2,0,2,3,7,1,0,5,7,6,6,1,4,2,1,0,0,2,1,0,0,0,1,22,25,8
 BLUE ALBION X , Dairy , F ,0,0,4,2,0,17,0,3,3,1,5,3,0,1,4,2,0,0,0,4,0,4,2,2,0,1,3,20,17,24
,, M ,0,0,4,2,0,6,0,1,6,0,3,3,1,1,1,0,0,0,0,0,2,2,1,1,0,0,4,9,13,16
 BLUE GREY , Non Dairy , F ,9,4,7,21,17,21,76,92,100,127,124,144,156,86,84,50,69,49,36,17,35,28,34,25,24,2,14,634,689,128
,, M ,12,1,8,21,11,10,66,106,78,115,126,126,122,70,66,30,59,42,25,15,13,16,31,11,17,3,17,527,594,96
 BLUE GREY X , Non Dairy , F ,14,3,1,23,10,2,15,11,11,18,18,32,23,24,11,15,7,10,8,22,11,2,2,9,12,11,4,195,120,14
,, M ,16,2,6,23,10,3,16,8,7,21,12,27,14,25,11,13,10,10,9,29,3,10,4,14,6,12,5,216,94,16
 BRAHMAN , Non Dairy , F ,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,4,2,0
 BRAHMAN X , Non Dairy , F ,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,4,2
,, M ,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,3,6,1
 BRETONNE PIE0NOIRE , Non Dairy , F ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,, M ,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
 BRITISH BLUE , Non Dairy , F ,511,532,464,583,424,589,758,733,762,888,960,883,780,729,679,686,678,710,561,531,499,533,462,595,595,454,465,"7,861","7,368","1,815"
,, M ,586,548,533,609,476,596,820,735,795,950,963,926,867,821,698,701,717,685,632,610,545,541,564,541,644,505,544,"8,295","7,933","1,924"
 BRITISH BLUE X , Non Dairy , F ,"4,624","4,837","4,906","5,069","5,176","5,858","8,819","8,793","9,455","9,776","10,428","8,761","9,009","6,744","6,728","6,511","6,462","6,044","6,103","5,708","5,518","5,352","5,647","5,011","5,505","4,738","5,057","77,157","79,263","20,219"
,, M ,"4,968","5,303","5,594","5,427","5,471","6,285","9,284","9,337","9,936","10,329","10,961","9,324","9,549","7,357","7,064","6,910","7,264","6,454","6,662","6,120","6,154","5,950","6,489","5,611","6,028","5,220","5,588","82,954","85,870","21,815"
 BRITISH FRIESIAN , Dairy , F ,"3,307","3,404","3,263","4,652","4,967","5,919","5,024","5,040","5,060","4,034","4,032","3,589","3,099","3,584","3,168","4,215","3,709","4,999","4,805","5,581","4,748","4,336","4,360","3,784","3,855","3,301","3,245","50,406","48,432","14,242"
,, M ,"3,486","3,229","3,342","5,032","4,819","6,041","5,350","5,187","5,265","4,439","4,128","3,867","3,412","3,863","3,379","4,567","3,870","5,259","4,911","5,856","5,072","4,420","4,576","4,072","3,988","3,385","3,384","53,596","49,955","14,648"
 BRITISH FRIESIAN X , Dairy , F ,773,933,985,"2,499","3,000","3,703","1,929","2,260","2,695",959,"1,175",749,894,811,788,861,846,"1,250","1,392","1,613","1,580",939,"1,038",749,841,670,738,"13,802","15,485","7,383"
,, M ,739,841,940,"2,270","2,526","3,932","2,023","2,200","3,084","1,076","1,146",857,945,853,975,"1,067",968,"1,337","1,505","1,692","1,732","1,069","1,216",752,931,728,734,"14,463","15,719","7,956"
 BRITISH HOLSTEIN , Dairy , F ,237,254,316,225,225,343,239,285,324,235,310,205,331,223,286,224,324,369,353,250,359,353,373,279,356,210,279,"3,049","3,735",983
,, M ,170,178,224,224,193,237,178,163,282,198,246,165,228,157,188,187,202,268,257,188,276,220,283,161,185,114,206,"2,230","2,605",743
 BRITISH HOLSTEIN X , Dairy , F ,36,64,64,105,46,83,71,50,56,42,66,45,35,36,43,44,67,37,88,51,112,72,87,59,59,56,102,654,819,203
,, M ,44,36,48,68,22,67,67,32,61,32,49,29,46,50,43,43,55,45,67,50,98,53,79,40,48,36,59,557,634,176
 BRITISH WHITE , Non Dairy , F ,30,34,28,44,51,49,105,100,106,82,100,102,71,64,58,51,41,35,43,32,24,18,18,25,12,11,29,599,581,183
,, M ,35,36,18,70,45,48,111,111,121,104,114,100,97,52,67,62,49,40,41,29,40,12,27,16,13,18,24,649,664,187
 BRITISH WHITE X , Non Dairy , F ,15,22,18,16,16,21,36,49,26,40,38,36,52,23,28,18,17,25,12,23,11,16,27,21,12,9,10,278,294,65
,, M ,12,23,24,18,15,21,32,43,38,39,35,50,38,24,19,22,10,16,18,16,9,26,20,33,24,17,7,305,261,83
 BROWN SWISS , Dairy , F ,83,96,76,88,94,116,143,136,199,100,111,113,114,112,150,116,161,132,165,117,176,117,183,106,151,100,102,"1,327","1,639",391
,, M ,51,85,73,54,91,80,102,91,137,78,102,87,131,78,109,103,147,125,159,80,148,105,137,83,143,71,80,"1,017","1,423",290
 BROWN SWISS X , Dairy , F ,195,220,159,228,194,186,345,333,242,307,296,195,236,194,214,248,246,302,306,306,293,267,274,256,196,222,162,"3,065","2,970",587
,, M ,157,190,124,181,183,161,335,206,239,291,176,199,209,198,196,215,215,292,262,293,243,210,269,190,211,183,170,"2,744","2,530",524
 CHAROLAIS , Non Dairy , F ,589,575,526,632,632,695,"1,490","1,373","1,505","2,174","2,153","1,947","1,706","1,351","1,263",978,959,754,661,631,533,574,526,477,534,445,397,"12,042","11,312","2,726"
,, M ,516,578,522,649,603,656,"1,431","1,378","1,526","2,264","2,148","2,103","1,866","1,437","1,306","1,072",899,782,618,661,618,573,578,527,495,503,400,"12,518","11,487","2,704"
 CHAROLAIS X , Non Dairy , F ,"4,370","4,029","3,768","5,819","5,365","6,044","17,514","16,904","18,344","24,832","25,624","19,481","18,786","10,640","10,042","6,921","7,366","6,220","5,873","6,467","5,636","5,283","5,023","4,221","4,566","3,249","3,246","115,017","112,460","28,156"
,, M ,"4,380","4,101","3,772","5,677","5,428","6,033","17,735","17,008","18,866","26,071","26,367","20,439","19,814","11,143","10,699","7,508","7,692","6,397","6,192","6,846","5,964","5,401","5,211","4,292","4,637","3,358","3,216","119,247","116,329","28,671"
 CHIANINA , Non Dairy , F ,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1
,, M ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,4,0
 CHIANINA X , Non Dairy , F ,2,1,2,0,1,1,3,0,9,5,2,7,0,4,6,1,3,2,2,1,1,5,1,4,2,0,0,34,19,12
,, M ,2,5,1,0,3,0,2,2,8,1,2,7,3,2,5,5,2,1,1,2,0,4,1,1,1,1,1,28,26,9
 CHILLINGHAM , Non Dairy , F ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
 CHILLINGHAM X , Non Dairy , F ,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
